model,n,rmse,mae,bias
Chronos2_ZeroShot,1232,0.05700360225840087,0.04095987332005583,0.005429948658175824
ElasticNet,1232,0.055003866361362716,0.0395814654340396,-0.0019288092087230918
RandomForest,1232,0.055025336506349776,0.04003298750794668,-0.003281319898062461
Ridge,1232,0.05523944008417497,0.039643295023292065,-0.001932464964756839
XGBoost,1232,0.055260438795865216,0.03997611402779252,-0.002931190193021513
