variant,cagr,ann_vol,sharpe_rf0,max_drawdown,calmar,positive_month_fraction,total_one_way_turnover,average_monthly_turnover,support_start,support_end,daily_observations,months
CURRENT4_RANK,0.14915911015890249,0.17327422915429036,0.8912607910074706,-0.22562533631566117,0.66109202359358,0.6696428571428571,27.549681861670045,0.2459793023363397,2017-05-01,2026-08-03,2327,112
REX3_RANK,0.15003224333208043,0.1798347106669587,0.8693323465663197,-0.2225872653602723,0.6740378569692352,0.6339285714285714,23.492928045669867,0.20975828612205236,2017-05-01,2026-08-03,2327,112
CHRONOS_STANDALONE,0.15485656373521506,0.16403525169020838,0.9622033497984549,-0.2075380916942785,0.7461597168549287,0.6785714285714286,21.152330521107224,0.18886009393845735,2017-05-01,2026-08-03,2327,112
CURRENT4_CHRONOS20,0.1552409167206401,0.1750216177094285,0.9143206241310654,-0.21241681736838725,0.7308315727723718,0.6875,22.500753055299967,0.20089958085089257,2017-05-01,2026-08-03,2327,112
C3_REX3_CHRONOS20,0.17126843359640254,0.17633959962853624,0.9871266596269239,-0.2197163487735896,0.7794979051508314,0.6785714285714286,20.51349377438333,0.1831561944141368,2017-05-01,2026-08-03,2327,112
ZSPACE_REX3_CHRONOS20,0.1459612025545951,0.18708293673570667,0.8239557290180005,-0.24546972530234112,0.5946199775749007,0.6696428571428571,20.478487013927353,0.18284363405292275,2017-05-01,2026-08-03,2327,112
C1_REX3_CHRONOS25,0.16204557238775874,0.17691008835924568,0.9396988656645421,-0.21940084202329269,0.7385822720341026,0.6696428571428571,22.49301877059884,0.2008305247374896,2017-05-01,2026-08-03,2327,112
C2_CURRENT4_CHRONOS50,0.17630380751058805,0.17018907862169963,1.0418603122504402,-0.2426754629357334,0.7265003448547156,0.6964285714285714,22.842552126871194,0.20395135827563568,2017-05-01,2026-08-03,2327,112
RIDGE_STANDALONE,0.13532570766886454,0.19036664682783513,0.7638597733520337,-0.286787095908448,0.4718681893276852,0.6428571428571429,19.20594673121902,0.1714816672430269,2017-05-01,2026-08-03,2327,112
ELASTICNET_STANDALONE,0.14197699913033657,0.18612666897684765,0.808396908861549,-0.26114393126490754,0.5436733622054322,0.6517857142857143,19.559383556378638,0.17463735318195214,2017-05-01,2026-08-03,2327,112
RANDOMFOREST_STANDALONE,0.11972792714921732,0.16453874815219674,0.7715143443936433,-0.25730463413557536,0.46531586013383636,0.6428571428571429,38.991361548178354,0.34813715668016404,2017-05-01,2026-08-03,2327,112
XGBOOST_STANDALONE,0.14559528869695093,0.17873650118126286,0.8522315158259816,-0.2589498745262715,0.562252787197932,0.6875,32.14253649212442,0.2869869329653967,2017-05-01,2026-08-03,2327,112
REX3_CHRONOS10,0.1650941374983863,0.17759182369396748,0.9515538281698834,-0.22372301413934226,0.7379398947108772,0.6607142857142857,22.990354652307563,0.20527102368131755,2017-05-01,2026-08-03,2327,112
REX3_CHRONOS33,0.15221200122423362,0.17608390775390134,0.8949265178109117,-0.24900289161007605,0.611286078808228,0.6875,21.782302732534166,0.19448484582619785,2017-05-01,2026-08-03,2327,112
REX3_CHRONOS50,0.16721344033301322,0.170980902459266,0.9923033637217767,-0.2407589222673875,0.6945264530936284,0.6785714285714286,22.369582659608124,0.1997284166036439,2017-05-01,2026-08-03,2327,112
