variant_a,variant_b,mean_top4_jaccard,mean_rank_spearman
CURRENT4_CHRONOS20,ZSPACE_REX3_CHRONOS20,0.8345238095238096,0.9368506493506494
CURRENT4_RANK,ELASTICNET_STANDALONE,0.6892857142857142,0.8498376623376623
CURRENT4_RANK,RANDOMFOREST_STANDALONE,0.5795068027210883,0.6339285714285715
CURRENT4_RANK,REX3_CHRONOS10,0.8047619047619047,0.9284902597402598
CURRENT4_RANK,REX3_CHRONOS33,0.7025510204081632,0.8641233766233766
CURRENT4_RANK,REX3_CHRONOS50,0.5901360544217686,0.75625
CURRENT4_RANK,REX3_RANK,0.807142857142857,0.9289772727272728
CURRENT4_RANK,RIDGE_STANDALONE,0.6952380952380951,0.8468344155844155
CURRENT4_RANK,XGBOOST_STANDALONE,0.6506802721088434,0.7637175324675326
CURRENT4_RANK,ZSPACE_REX3_CHRONOS20,0.7630952380952382,0.896185064935065
ELASTICNET_STANDALONE,RANDOMFOREST_STANDALONE,0.3975340136054421,0.32215909090909095
ELASTICNET_STANDALONE,REX3_CHRONOS10,0.788095238095238,0.9148538961038961
ELASTICNET_STANDALONE,REX3_CHRONOS33,0.7226190476190474,0.8402597402597404
ELASTICNET_STANDALONE,REX3_CHRONOS50,0.6078231292517006,0.7309253246753247
ELASTICNET_STANDALONE,REX3_RANK,0.8035714285714285,0.9261363636363639
ELASTICNET_STANDALONE,RIDGE_STANDALONE,0.8607142857142857,0.9393668831168832
ELASTICNET_STANDALONE,XGBOOST_STANDALONE,0.5068027210884353,0.49537337662337666
ELASTICNET_STANDALONE,ZSPACE_REX3_CHRONOS20,0.7547619047619047,0.8708603896103897
RANDOMFOREST_STANDALONE,REX3_CHRONOS10,0.4668367346938775,0.4211850649350649
RANDOMFOREST_STANDALONE,REX3_CHRONOS33,0.47389455782312917,0.40616883116883123
RANDOMFOREST_STANDALONE,REX3_CHRONOS50,0.4238095238095238,0.36241883116883117
RANDOMFOREST_STANDALONE,REX3_RANK,0.46403061224489794,0.41810064935064933
RANDOMFOREST_STANDALONE,RIDGE_STANDALONE,0.41267006802721085,0.3120941558441559
RANDOMFOREST_STANDALONE,XGBOOST_STANDALONE,0.519047619047619,0.5482142857142858
RANDOMFOREST_STANDALONE,ZSPACE_REX3_CHRONOS20,0.4827380952380952,0.4358766233766235
REX3_CHRONOS10,REX3_CHRONOS33,0.8166666666666665,0.9335227272727273
REX3_CHRONOS10,REX3_CHRONOS50,0.6678571428571427,0.8354707792207794
REX3_CHRONOS10,REX3_RANK,0.9249999999999999,0.9813311688311688
REX3_CHRONOS10,RIDGE_STANDALONE,0.7821428571428571,0.9159902597402597
REX3_CHRONOS10,XGBOOST_STANDALONE,0.6251700680272109,0.7169642857142858
REX3_CHRONOS10,ZSPACE_REX3_CHRONOS20,0.8642857142857144,0.949512987012987
REX3_CHRONOS33,REX3_CHRONOS50,0.8071428571428572,0.9465909090909091
REX3_CHRONOS33,REX3_RANK,0.7488095238095236,0.8978084415584416
REX3_CHRONOS33,RIDGE_STANDALONE,0.7059523809523809,0.832224025974026
REX3_CHRONOS33,XGBOOST_STANDALONE,0.6102040816326529,0.7001623376623377
REX3_CHRONOS33,ZSPACE_REX3_CHRONOS20,0.8619047619047618,0.9486201298701299
REX3_CHRONOS50,REX3_RANK,0.6256802721088436,0.7818181818181819
REX3_CHRONOS50,RIDGE_STANDALONE,0.5869047619047618,0.7164772727272728
REX3_CHRONOS50,XGBOOST_STANDALONE,0.5731292517006802,0.625974025974026
REX3_CHRONOS50,ZSPACE_REX3_CHRONOS20,0.7178571428571426,0.881818181818182
REX3_RANK,RIDGE_STANDALONE,0.8119047619047618,0.9272727272727274
REX3_RANK,XGBOOST_STANDALONE,0.6204081632653059,0.7076298701298701
REX3_RANK,ZSPACE_REX3_CHRONOS20,0.8321428571428571,0.92987012987013
RIDGE_STANDALONE,XGBOOST_STANDALONE,0.5209183673469386,0.4965097402597403
RIDGE_STANDALONE,ZSPACE_REX3_CHRONOS20,0.7488095238095237,0.8664772727272728
XGBOOST_STANDALONE,ZSPACE_REX3_CHRONOS20,0.6204081632653059,0.701542207792208
